"Relative Time","addtocart_Transaction","Login_Transaction","logout_Transaction","Register_Transaction","search_Transaction","vuser_end_Transaction","vuser_init_Transaction"
"00:00","","","","","","","0"
"00:08","","","","","","","0"
"00:16","","4.302","","12.552","","",""
"00:24","","8.144","","","2.558","","0"
"00:32","4.64","","","","","","0"
"00:40","4.772","4.621","1.942","11.998","","",""
"00:48","","2.883","","7.668","2.546","","0"
"00:56","3.493","2.889","1.125","9.275","1.854","","0"
"01:04","2.102","","3.069","7.716","","",""
"01:12","3.647","3.187","0.926","9.924","1.899","","0"
"01:20","","2.333","","10.588","2.698","","0"
"01:28","2.05","2.182","1.175","6.97","2.996","",""
"01:36","2.761","2.563","1.264","6.571","1.81","","0"
"01:44","2.154","2.713","1.134","7.679","1.468","","0"
"01:52","11.168","2.889","0.801","10.305","3.298","",""
"02:00","2.115","1.911","0.693","6.259","4.621","",""
"02:08","1.866","","0.931","15.188","","",""
"02:16","","2.197","","13.512","2.848","",""
"02:24","18.501","4.075","0.697","13.693","1.768","",""
"02:32","1.534","2.367","1.132","7.293","5.359","",""
"02:40","1.995","4.16","1.07","25.106","1.895","",""
"02:48","45.56","2.869","0.826","5.452","2.962","0",""
"02:56","2.381","2.122","0.761","11.298","1.274","0",""
"03:04","7.34","","0.693","","","0",""
"03:12","","","23.749","","","0",""
"03:28","","","20.63","","","0",""
"03:44","","","","","","0",""
"04:48","","","","","","0",""
"04:56","","","","","","0",""
